Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Category,Subcategories,Packaging,Qty,Product Page URL,Image URL
DC Dental, 159-9601350 , Keystone , 159-9601350 ,Extra-Pro Laminates .200 Assorted 12/Pk,"Keystone Industries now manufactures a triple layered, extra thick (.200)
laminated material for mouthguards. Made for optimum protection for athletes
like pros, colleges and varsity high school players. If you need extra bulk
and protection, you might want to try our triple-layered Extra-Pro Laminate.

", Supplies ,Laboratory Products,Pk,12,https://www.dcdental.com/Extra-Pro-Laminates-9601350,https://www.dcdental.com/images/811435566777.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 204-HM16 , Nordent , 204-HM16 ,Mirror Handle SE Cone Socket DuraLite Round Handle,"Mirror Handle SE Cone Socket DuraLite Round Handle

", Supplies ,Instruments,,,https://www.dcdental.com/Mirror-Handles-HM16,https://www.dcdental.com/images/767268537722.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 159-9601515 , Keystone , 159-9601515 ,Extra-Pro Laminates .200 Red 12/Pk,"Keystone Industries now manufactures a triple layered, extra thick (.200)
laminated material for mouthguards. Made for optimum protection for athletes
like pros, colleges and varsity high school players. If you need extra bulk
and protection, you might want to try our triple-layered Extra-Pro Laminate.

", Supplies ,Laboratory Products,Pk,12,https://www.dcdental.com/Extra-Pro-Laminates-9601515,https://www.dcdental.com/images/145518455536.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 204-HM18 , Nordent , 204-HM18 ,Mirror Handle SE Simple Stem DuraLite Round Handle,"Mirror Handle SE Simple Stem DuraLite Round Handle

", Supplies ,Instruments,,,https://www.dcdental.com/Mirror-Handles-HM18,https://www.dcdental.com/images/838133446835.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 204-AC1 , Nordent , 204-AC1 ,Amalgam Carrier DE Regular-Jumbo,"Nordent amalgam carriers are the only ones with an unconditional 2-year
guarantee. The “Mini” barrel has an inside diameter of 1.5mm and is 5mm deep.
The “Regular” barrel has an inside diameter of 2.0mm and is 5mm deep. The
“Large” barrel has an inside diameter of 2.7mm and is 5mm deep. Our most
popular pattern! The “Jumbo” barrel has an inside diameter of 3.0mm and is 5mm
deep.

", Supplies ,Instruments,,,https://www.dcdental.com/Amalgam-Restoration-AC1,https://www.dcdental.com/images/845046470642.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 204-AC2 , Nordent , 204-AC2 ,Amalgam Carrier DE Regular-Large,"Nordent amalgam carriers are the only ones with an unconditional 2-year
guarantee. The “Mini” barrel has an inside diameter of 1.5mm and is 5mm deep.
The “Regular” barrel has an inside diameter of 2.0mm and is 5mm deep. The
“Large” barrel has an inside diameter of 2.7mm and is 5mm deep. Our most
popular pattern! The “Jumbo” barrel has an inside diameter of 3.0mm and is 5mm
deep.

", Supplies ,Instruments,,,https://www.dcdental.com/Amalgam-Restoration-AC2,https://www.dcdental.com/images/135123610857.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 116-CL-PBHS4 , Johnson Promident , 116-CL-PBHS4 ,Classic Push Button Head 4 Hole Handpiece,"  * Convenient push button chuck
  * Improved chuck locking system for long lasting retention

", Supplies ,Handpieces,,,https://www.dcdental.com/Classic-HS-Handpiece-CL-PBHS4,https://www.dcdental.com/images/112040078038.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 204-AC3 , Nordent , 204-AC3 ,Amalgam Carrier DE Regular Miniature,"Nordent amalgam carriers are the only ones with an unconditional 2-year
guarantee. The “Mini” barrel has an inside diameter of 1.5mm and is 5mm deep.
The “Regular” barrel has an inside diameter of 2.0mm and is 5mm deep. The
“Large” barrel has an inside diameter of 2.7mm and is 5mm deep. Our most
popular pattern! The “Jumbo” barrel has an inside diameter of 3.0mm and is 5mm
deep.

", Supplies ,Instruments,,,https://www.dcdental.com/Amalgam-Restoration-AC3,https://www.dcdental.com/images/320832028882.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 204-RCACD2 , Nordent , 204-RCACD2 ,Carver DE Medium Cleoid Discoid #2 (89-92) Medium Round Handle,"Nordent amalgam carriers are the only ones with an unconditional 2-year
guarantee. The “Mini” barrel has an inside diameter of 1.5mm and is 5mm deep.
The “Regular” barrel has an inside diameter of 2.0mm and is 5mm deep. The
“Large” barrel has an inside diameter of 2.7mm and is 5mm deep. Our most
popular pattern! The “Jumbo” barrel has an inside diameter of 3.0mm and is 5mm
deep.

", Supplies ,Instruments,,,https://www.dcdental.com/Amalgam-Restoration-RCACD2,https://www.dcdental.com/images/833268138617.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 204-AC7 , Nordent , 204-AC7 ,Amalgam Carrier DE Jumbo-Jumbo,"Nordent amalgam carriers are the only ones with an unconditional 2-year
guarantee. The “Mini” barrel has an inside diameter of 1.5mm and is 5mm deep.
The “Regular” barrel has an inside diameter of 2.0mm and is 5mm deep. The
“Large” barrel has an inside diameter of 2.7mm and is 5mm deep. Our most
popular pattern! The “Jumbo” barrel has an inside diameter of 3.0mm and is 5mm
deep.

", Supplies ,Instruments,,,https://www.dcdental.com/Amalgam-Restoration-AC7,https://www.dcdental.com/images/348425440552.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 204-RCACD1 , Nordent , 204-RCACD1 ,Carver DE Small Cleoid Discoid #1 (90-93) Medium Round Handle,"Nordent amalgam carriers are the only ones with an unconditional 2-year
guarantee. The “Mini” barrel has an inside diameter of 1.5mm and is 5mm deep.
The “Regular” barrel has an inside diameter of 2.0mm and is 5mm deep. The
“Large” barrel has an inside diameter of 2.7mm and is 5mm deep. Our most
popular pattern! The “Jumbo” barrel has an inside diameter of 3.0mm and is 5mm
deep.

", Supplies ,Instruments,,,https://www.dcdental.com/Amalgam-Restoration-RCACD1,https://www.dcdental.com/images/124441652236.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 204-RCACD3 , Nordent , 204-RCACD3 ,Carver DE Large Cleoid Discoid #3 (3-6) Medium Round Handle,"Nordent amalgam carriers are the only ones with an unconditional 2-year
guarantee. The “Mini” barrel has an inside diameter of 1.5mm and is 5mm deep.
The “Regular” barrel has an inside diameter of 2.0mm and is 5mm deep. The
“Large” barrel has an inside diameter of 2.7mm and is 5mm deep. Our most
popular pattern! The “Jumbo” barrel has an inside diameter of 3.0mm and is 5mm
deep.

", Supplies ,Instruments,,,https://www.dcdental.com/Amalgam-Restoration-RCACD3,https://www.dcdental.com/images/263071320679.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 204-RCACD4-5 , Nordent , 204-RCACD4-5 ,Carver DE Cleoid Discoid #4-5 Medium Round Handle,"Nordent amalgam carriers are the only ones with an unconditional 2-year
guarantee. The “Mini” barrel has an inside diameter of 1.5mm and is 5mm deep.
The “Regular” barrel has an inside diameter of 2.0mm and is 5mm deep. The
“Large” barrel has an inside diameter of 2.7mm and is 5mm deep. Our most
popular pattern! The “Jumbo” barrel has an inside diameter of 3.0mm and is 5mm
deep.

", Supplies ,Instruments,,,https://www.dcdental.com/Amalgam-Restoration-RCACD4-5,https://www.dcdental.com/images/167462123415.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 158-1008.6133 , Kavo , 158-1008.6133 ,Wrench for Cover,"Wrench for Cover

", Supplies ,Handpieces,,,https://www.dcdental.com/SMARTtorque-1008.6133,https://www.dcdental.com/images/582572571879.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 198-91216 ," Danville Materials, Inc. ", 198-91216 ,Accolade PV Veneer Placement System,"Accolade PV is a complete veneer application system designed by a major
lecturer & clinician. Accolade is highly thixotropic so it adapts readily but
does not slump. Excellent polish and wear resistance. Now with natural
fluorescence and 0.7 micron filler. Accolade PV Try-In Composites are the same
composite without a photo initiator, and provides a highly accurate shade
match. They are optically the same as the cementing composites, but will not
set. There is no need for full Try-In removal. Excess try-in cement is simply
brushed off and the matching Accolade PV Composite is directly applied.

", Supplies ,Cosmetic Dentistry,,,https://www.dcdental.com/Accolade-PV-Veneer-Placement-System-91216,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 962-H6110-N ," Air Techniques, Inc. ", 962-H6110-N ,Monarch Surface Disinfectant Spray 32oz Bottle,"Monarch Surface Disinfectant is formulated to disinfect hard, non-porous
surfaces killing a broad spectrum of pathogens in just 1 minute. Efficacy
tests have demonstrated that this product is an effective Bactericide,
Virucide, Tuberculocide, and Fungicide in the presence of organic soil.

", Supplies ,Infection Control,,,https://www.dcdental.com/Monarch-Surface-Disinfectant-H6110-N,https://www.dcdental.com/images/377651307568.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 962-H6189 ," Air Techniques, Inc. ", 962-H6189 ,Monarch Vinyl Upholstery Cleaner 16.9oz Bottle,"Upholstery Chair Cleaner and Conditioner. Cleans and cares without leaving any
residue; leaves a silky gloss finish. The cleaner is made of a blend of
special surfactants, silicone compounds and avocado oil.

", Supplies ,Infection Control,,,https://www.dcdental.com/Monarch-Vinyl-Upholstery-Cleaner-H6189,https://www.dcdental.com/images/378748753220.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-818-2602 , Kerr Endodontics , 813-818-2602 ,ZenFlex ONE Reciprocating NiTi File 25mm 3/Pk Small,"With the perfect balance of durability and high cutting efficiency. ZenFlex
ONE gives you more confidence and a smooth finish you can trust.

  * High Cutting Efficiency: Proprietary heat treatment and triangular cross-section design preserve the sharp cutting edges of the flute that lets you reach full working length with less resistance and more control during the procedure.
  * Minimally Invasive: A maximum flute diameter of 1mm and a non-cutting tip work together to minimize transportation and preserve the tooth’s structural integrity.
  * Exceptional Strength: Superior resistance to failure, minimizing file breakage.
  * Corresponding Gutta Percha and Paper Points: Gutta Percha and Paper points match canals shaped by ZenFlex ONE Reciprocating files.

", Supplies ,Endodontics,Pk Small,3,https://www.dcdental.com/ZenFlex-ONE-Reciprocating-Files-818-2602,https://www.dcdental.com/images/408758010454.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 394-TCB100XL ," Dash Medical Gloves, Inc. ", 394-TCB100XL ,Tru Comfort Blu Polycholorprene Gloves 100/Pk X-Large,"

", Supplies ,Infection Control,Pk X-Large,100,https://www.dcdental.com/Tru-Comfort-Blu-TCB100XL,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 250-315260 , Vista Dental Products , 250-315260 ,"Stropko Irrigator Standard 2"" Each","

", Supplies ,Endodontics,,,https://www.dcdental.com/Stropko-Irrigator-315260,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-818-2603 , Kerr Endodontics , 813-818-2603 ,ZenFlex ONE Reciprocating NiTi File 31mm 3/Pk Small,"With the perfect balance of durability and high cutting efficiency. ZenFlex
ONE gives you more confidence and a smooth finish you can trust.

  * High Cutting Efficiency: Proprietary heat treatment and triangular cross-section design preserve the sharp cutting edges of the flute that lets you reach full working length with less resistance and more control during the procedure.
  * Minimally Invasive: A maximum flute diameter of 1mm and a non-cutting tip work together to minimize transportation and preserve the tooth’s structural integrity.
  * Exceptional Strength: Superior resistance to failure, minimizing file breakage.
  * Corresponding Gutta Percha and Paper Points: Gutta Percha and Paper points match canals shaped by ZenFlex ONE Reciprocating files.

", Supplies ,Endodontics,Pk Small,3,https://www.dcdental.com/ZenFlex-ONE-Reciprocating-Files-818-2603,https://www.dcdental.com/images/517511476601.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 813-818-2604 , Kerr Endodontics , 813-818-2604 ,ZenFlex ONE Reciprocating NiTi File 21mm 3/Pk Primary,"With the perfect balance of durability and high cutting efficiency. ZenFlex
ONE gives you more confidence and a smooth finish you can trust.

  * High Cutting Efficiency: Proprietary heat treatment and triangular cross-section design preserve the sharp cutting edges of the flute that lets you reach full working length with less resistance and more control during the procedure.
  * Minimally Invasive: A maximum flute diameter of 1mm and a non-cutting tip work together to minimize transportation and preserve the tooth’s structural integrity.
  * Exceptional Strength: Superior resistance to failure, minimizing file breakage.
  * Corresponding Gutta Percha and Paper Points: Gutta Percha and Paper points match canals shaped by ZenFlex ONE Reciprocating files.

", Supplies ,Endodontics,Pk Primary,3,https://www.dcdental.com/ZenFlex-ONE-Reciprocating-Files-818-2604,https://www.dcdental.com/images/804858843174.01.png?resizeid=2&resizeh=600&resizew=600
